hour,battery,curtailment,demand
5162,0.0,0.0,2845.56713
5163,0.0,0.0,2845.56713
5164,0.0,0.0,2845.56713
5165,0.0,0.0,2845.56713
5166,0.0,0.0,2845.56713
5167,0.0,0.0,2845.56713
5168,0.0,1196.316614418026,2845.56713
5169,0.0,3409.729141123136,2845.56713
5170,0.0,5469.165144231369,2845.56713
5171,0.0,6258.294827665362,2845.56713
5172,0.0,6508.506678510288,2845.56713
5173,0.0,6585.494940308727,2845.56713
5174,5319.259885430555,996.7761385836375,2845.56713
5175,5372.92981698332,0.0,2845.56713
5176,3929.3999082625955,0.0,2845.56713
5177,2254.905214146557,0.0,2845.56713
5178,272.4574728367629,0.0,2845.56713
5179,0.0,0.0,2845.56713
5180,0.0,0.0,2845.56713
5181,0.0,0.0,2845.56713
5182,0.0,0.0,2845.56713
5183,0.0,0.0,2845.56713
5184,0.0,0.0,2845.56713
5185,0.0,0.0,2845.56713
5186,0.0,0.0,2845.56713
5187,0.0,0.0,2845.56713
5188,0.0,0.0,2845.56713
5189,0.0,0.0,2845.56713
5190,0.0,0.0,2845.56713
5191,0.0,0.0,2845.56713
5192,0.0,2216.4110832473375,2845.56713
5193,0.0,4372.082413603617,2845.56713
5194,0.0,6431.51841671185,2845.56713
5195,0.0,8106.013110827889,2845.56713
5196,0.0,9934.484328540806,2845.56713
5197,0.0,10993.072928269336,2845.56713
5198,0.0,10357.919768432219,2845.56713
5199,5784.188012763414,3438.154894141835,2845.56713
5200,6912.695052952091,0.0,2845.56713
5201,3890.9057773633763,0.0,2845.56713
5202,561.1634545809075,0.0,2845.56713
5203,0.0,0.0,2845.56713
5204,0.0,0.0,2845.56713
5205,0.0,0.0,2845.56713
5206,0.0,0.0,2845.56713
5207,0.0,0.0,2845.56713
5208,0.0,0.0,2845.56713
5209,0.0,0.0,2845.56713
5210,0.0,0.0,2845.56713
5211,0.0,0.0,2845.56713
5212,0.0,0.0,2845.56713
5213,0.0,0.0,2845.56713
5214,0.0,0.0,2845.56713
5215,0.0,0.0,2845.56713
5216,0.0,0.0,2845.56713
5217,0.0,734.3870436273942,2845.56713
5218,0.0,1966.1992324024118,2845.56713
5219,0.0,3024.787832130942,2845.56713
5220,0.0,4352.835348154007,2845.56713
5221,0.0,5161.212097037613,2845.56713
5222,3570.7754860583063,3284.178370544956,2845.56713
5223,7066.671576548968,0.0,2845.56713
5224,4757.023722595812,0.0,2845.56713
5225,1754.4815124567053,0.0,2845.56713
5226,0.0,0.0,2845.56713
5227,0.0,0.0,2845.56713
5228,0.0,0.0,2845.56713
5229,0.0,0.0,2845.56713
5230,0.0,0.0,2845.56713
5231,0.0,0.0,2845.56713
5232,0.0,0.0,2845.56713
5233,0.0,0.0,2845.56713
5234,0.0,0.0,2845.56713
5235,0.0,0.0,2845.56713
5236,0.0,0.0,2845.56713
5237,0.0,0.0,2845.56713
5238,0.0,0.0,2845.56713
5239,0.0,0.0,2845.56713
5240,0.0,907.6106326738814,2845.56713
5241,0.0,3274.999682975868,2845.56713
5242,0.0,5680.882864177074,2845.56713
5243,0.0,7297.636361944285,2845.56713
5244,4989.061216244962,95.1626189942117,2845.56713
5245,4295.094151805179,0.0,2845.56713
5246,3351.9879447743065,0.0,2845.56713
5247,2716.834784937188,0.0,2845.56713
5248,1773.7285779063154,0.0,2845.56713
5249,22.245621991837197,0.0,2845.56713
5250,0.0,0.0,2845.56713
5251,0.0,0.0,2845.56713
5252,0.0,0.0,2845.56713
5253,0.0,0.0,2845.56713
5254,0.0,0.0,2845.56713
5255,0.0,0.0,2845.56713
5256,0.0,0.0,2845.56713
5257,0.0,0.0,2845.56713
5258,0.0,0.0,2845.56713
5259,0.0,0.0,2845.56713
5260,0.0,0.0,2845.56713
5261,0.0,0.0,2845.56713
5262,0.0,0.0,2845.56713
5263,0.0,0.0,2845.56713
5264,0.0,2620.5994576891394,2845.56713
5265,0.0,5815.612322324341,2845.56713
5266,0.0,8356.224961672815,2845.56713
5267,0.0,10107.707917587293,2845.56713
5268,0.0,10800.60227377324,2845.56713
5269,0.0,10800.60227377324,2845.56713
5270,3202.082685973493,6116.495548179804,2845.56713
5271,7085.918641998578,0.0,2845.56713
5272,4295.094151805179,0.0,2845.56713
5273,2408.881737743434,0.0,2845.56713
5274,156.9750801391051,0.0,2845.56713
5275,0.0,0.0,2845.56713
5276,0.0,0.0,2845.56713
5277,0.0,0.0,2845.56713
5278,0.0,0.0,2845.56713
5279,0.0,0.0,2845.56713
5280,0.0,0.0,2845.56713
5281,0.0,0.0,2845.56713
5282,0.0,0.0,2845.56713
5283,0.0,0.0,2845.56713
5284,0.0,0.0,2845.56713
5285,0.0,0.0,2845.56713
5286,0.0,0.0,2845.56713
5287,0.0,0.0,2845.56713
5288,0.0,0.0,2845.56713
5289,0.0,0.0,2845.56713
5290,0.0,0.0,2845.56713
5291,0.0,0.0,2845.56713
5292,0.0,0.0,2845.56713
5293,0.0,0.0,2845.56713
5294,561.1634545809075,0.0,2845.56713
5295,1388.7872689141227,0.0,2845.56713
5296,2274.152279596166,0.0,2845.56713
5297,1869.9639051543631,0.0,2845.56713
5298,176.22214558871474,0.0,2845.56713
5299,0.0,0.0,2845.56713
5300,0.0,0.0,2845.56713
5301,0.0,0.0,2845.56713
5302,0.0,0.0,2845.56713
5303,0.0,0.0,2845.56713
